pMedian	pDispersion
1566.0	5.96
1561.0	5.71
1573.0	6.22
1557.0	5.63
1578.0	6.43
1552.0	4.58
1553.0	5.62
1703.0	8.82
2068.0	11.46
2132.0	11.62
1708.0	8.92
2113.0	11.47
1599.0	7.49
2119.0	11.53
2141.0	11.66
1797.0	10.02
1607.0	7.55
1568.0	6.19
1805.0	10.18
1611.0	7.56
1580.0	6.54
1806.0	10.31
1587.0	7.1
1728.0	9.26
1589.0	7.15
1585.0	6.75
1810.0	10.38
1898.0	11.22
1857.0	11.01
1884.0	11.05
1726.0	9.13
1731.0	9.45
1811.0	10.57
1819.0	10.8
1716.0	9.12
1841.0	10.94
1843.0	10.95
1902.0	11.26
1746.0	9.66
1748.0	9.73
1852.0	10.99
1738.0	9.56
1908.0	11.28
1636.0	8.1
1917.0	11.37
1880.0	11.02
1655.0	8.28
1646.0	8.19
1624.0	7.74
1943.0	11.45
1695.0	8.72
1640.0	8.14
1934.0	11.4
1620.0	7.69
1687.0	8.69
1661.0	8.47
1669.0	8.48
1630.0	7.89
1633.0	8.0
