pMedian	pDispersion
1732.0	8.79
1850.0	10.38
1664.0	8.22
1601.0	6.38
1640.0	7.65
1610.0	7.27
1595.0	6.36
1590.0	6.26
1644.0	7.99
1945.0	11.18
1650.0	8.1
1630.0	7.5
1631.0	7.51
1655.0	8.21
1636.0	7.58
1651.0	8.15
1604.0	6.87
1602.0	6.58
1605.0	7.22
1773.0	9.92
1702.0	8.6
1724.0	8.69
1716.0	8.65
1775.0	10.04
1858.0	10.77
1857.0	10.48
1905.0	11.13
1900.0	10.94
1767.0	9.82
1736.0	8.88
1671.0	8.43
1766.0	9.56
1745.0	8.94
1760.0	9.42
1758.0	9.15
1681.0	8.46
1756.0	9.03
1666.0	8.39
1763.0	9.52
1800.0	10.16
1667.0	8.4
1685.0	8.5
1823.0	10.21
1790.0	10.05
1611.0	7.43
1825.0	10.34
