pMedian	pDispersion
11157.0	62.0
11107.0	53.0
11149.0	58.0
20917.0	89.0
21592.0	90.0
23004.0	91.0
12893.0	67.0
15690.0	75.0
18307.0	82.0
13693.0	70.0
18578.0	83.0
12129.0	64.0
13130.0	68.0
18242.0	80.0
19692.0	87.0
16116.0	76.0
18303.0	81.0
19169.0	85.0
17163.0	79.0
14939.0	74.0
19102.0	84.0
14444.0	71.0
16226.0	77.0
8823.0	30.0
8879.0	31.0
8595.0	28.0
8198.0	14.0
8618.0	29.0
17101.0	78.0
8242.0	19.0
9386.0	34.0
9029.0	32.0
14477.0	72.0
12034.0	63.0
8362.0	22.0
8408.0	26.0
10959.0	48.0
11017.0	49.0
10839.0	47.0
10654.0	45.0
8290.0	21.0
9252.0	33.0
9914.0	37.0
9534.0	35.0
10187.0	39.0
10591.0	44.0
10405.0	42.0
10335.0	40.0
11052.0	50.0
