pMedian	pDispersion
1495.0	12.71
1476.0	12.5
1440.0	12.26
1311.0	9.13
1272.0	8.79
1532.0	12.81
1268.0	8.34
1387.0	10.75
1361.0	10.15
1331.0	9.79
1315.0	9.67
1282.0	8.94
1276.0	8.91
1372.0	10.71
1215.0	5.66
1223.0	7.16
1242.0	7.49
1328.0	9.76
1270.0	8.72
1237.0	7.31
1437.0	11.45
1439.0	11.8
1287.0	9.0
1253.0	8.29
1240.0	7.33
1390.0	10.82
1547.0	12.86
1425.0	11.22
1297.0	9.05
1416.0	10.95
1389.0	10.76
1290.0	9.02
1415.0	10.83
1433.0	11.44
1236.0	7.2
1250.0	8.18
1367.0	10.17
1219.0	7.07
1221.0	7.15
1267.0	8.33
