pMedian	pDispersion
1650.0	8.18
1660.0	8.5
1648.0	8.07
1656.0	8.37
1703.0	8.79
1704.0	8.83
1663.0	8.62
1705.0	8.87
1677.0	8.69
1769.0	9.7
1547.0	5.28
1560.0	6.73
2004.0	11.17
1549.0	6.12
1679.0	8.73
1699.0	8.77
1689.0	8.76
1551.0	6.39
1553.0	6.4
1785.0	9.83
1563.0	6.85
1559.0	6.55
2052.0	11.37
1566.0	6.9
1635.0	7.86
1901.0	10.78
1768.0	9.64
1899.0	10.76
1868.0	10.73
2046.0	11.3
1946.0	10.86
1664.0	8.64
1594.0	7.3
1601.0	7.38
1833.0	10.25
1808.0	9.95
1884.0	10.74
1569.0	6.93
1790.0	9.85
1831.0	10.18
1715.0	8.88
1826.0	10.16
1761.0	9.55
1971.0	10.87
1822.0	10.06
1758.0	9.47
1837.0	10.41
1619.0	7.68
1578.0	7.12
1762.0	9.56
1765.0	9.59
1617.0	7.51
1750.0	9.28
1910.0	10.79
1623.0	7.77
1746.0	9.13
1616.0	7.5
1842.0	10.53
1572.0	6.94
1615.0	7.44
1855.0	10.69
2000.0	10.89
2002.0	11.11
1756.0	9.36
1719.0	8.93
1918.0	10.84
