pMedian	pDispersion
1348.0	10.66
1247.0	9.55
1287.0	10.05
1298.0	10.08
1239.0	9.54
1210.0	9.08
1299.0	10.17
1318.0	10.18
1320.0	10.43
1259.0	9.82
1254.0	9.62
1249.0	9.6
1276.0	9.96
1212.0	9.09
1279.0	9.98
1381.0	11.03
1394.0	11.29
1155.0	7.21
1151.0	7.04
1385.0	11.27
1165.0	8.17
1143.0	6.62
1176.0	8.63
1134.0	5.69
1174.0	8.55
1158.0	7.37
1204.0	8.79
1199.0	8.78
1177.0	8.67
1167.0	8.42
1414.0	11.34
1133.0	5.22
1206.0	8.9
1164.0	7.97
1229.0	9.41
1142.0	6.58
1401.0	11.31
1141.0	6.33
1406.0	11.33
1225.0	9.22
1336.0	10.65
1138.0	5.92
1135.0	5.71
1220.0	9.11
1146.0	6.64
1333.0	10.58
